"path","sha256","size_bytes","media_type","description"
"CHANGELOG.md","6a510297978450dbf0a2adb98c3975fd2b82ba421d393a3f13e34020de035db2","328","text/markdown","Release history"
"CITATION.cff","83798546eeaa11490f9060221cba2d46e9f0cdf5957797190a33e57abb935d97","501","application/yaml","Machine-readable citation"
"functioning-wallet-replacement-hosts.csv","7ef1d0dfc2043138200b8fa1123d817c01a6b52d14ef1152025237ad798b4ec2","13419","text/csv","Strict hostname subset with functioning replacement variants"
"iocs.csv","a7bf537745c4a4d855213521bf589ed8cb5641ea7b2aa34dc8db68579f0ea2d2","3201","text/csv","Contextual indicators"
"LICENSE.md","9f5afbd81a393bd1e6cb685f8940efb1cfb816cf842b2d921fcd8c4e957d0e59","413","text/markdown","Reuse terms and third-party evidence boundary"
"observed-hosts.csv","7bf07327cdb277d7f0486c7e48d1ab00d34bee6d19720e79a5f306ecc9a5cfbf","12191","text/csv","Unique exact-response-hash hostname observations"
"payload-capabilities.csv","dc5848ecc4ca7e5d2bb0d4c24af913eaa6b114c03a238c76b20611a71c6f446e","1380","text/csv","Static payload capability matrix"
"README.md","8b6ac043d38aaa1288212b55f7c5cbbcaa6c7d4e6fd37ed706ac7f0bdab97fbe","3510","text/markdown","Release scope, interpretation and limitations"
"reproduction-notes.md","eaaf7c8036f96dd7193cd35b78ad5e690ff9422eb9037dfd890cf8a9b7b5ce1b","1251","text/markdown","Byte-level reproduction notes"
"sources.csv","55ceb5db2896c66f4a86c5be5d4dfe024da54a274e243321fa2324e6a558ffef","1324","text/csv","Source register"
"urlscan-exact-hash-observations.csv","4cf918e7c87c77aa845bfc5cc1fbc804bcc71a459aa3cd86f6b5b196f1d8b2f1","21221","text/csv","Individual URLScan exact-response-hash observations"
