"page_hostname","observed_utc","response_sha256","payload_capability","valid_btc_replacement","valid_eth_replacement","wallet_rewrite_event_proven","funds_transfer_proven","urlscan_result"
"www.betriebseinrichtung.de","2026-07-26T23:29:53Z","c03567cac86046a9aa1c1c4b43e0c6de7703b43cf01b3d8229978314afc6e9da","malicious_clipboard_and_c2_invalid_wallet_destinations","no","no","no","no","https://urlscan.io/result/019fa0c3-5c68-742a-876d-763e88c16cad/"
"www.betriebseinrichtung.de","2026-07-26T23:30:22Z","c03567cac86046a9aa1c1c4b43e0c6de7703b43cf01b3d8229978314afc6e9da","malicious_clipboard_and_c2_invalid_wallet_destinations","no","no","no","no","https://urlscan.io/result/019fa0c3-ccb9-77c9-b40f-48c47fb406b5/"
"www.betriebseinrichtung.de","2026-07-26T23:30:24Z","c03567cac86046a9aa1c1c4b43e0c6de7703b43cf01b3d8229978314afc6e9da","malicious_clipboard_and_c2_invalid_wallet_destinations","no","no","no","no","https://urlscan.io/result/019fa0c3-d5a7-716c-aa94-e0ac873f161d/"
"www.betriebseinrichtung.de","2026-07-26T23:31:09Z","c03567cac86046a9aa1c1c4b43e0c6de7703b43cf01b3d8229978314afc6e9da","malicious_clipboard_and_c2_invalid_wallet_destinations","no","no","no","no","https://urlscan.io/result/019fa0c4-8253-7298-802f-50bfd3bd8f4d/"
"www.betriebseinrichtung.de","2026-07-26T23:31:22Z","c03567cac86046a9aa1c1c4b43e0c6de7703b43cf01b3d8229978314afc6e9da","malicious_clipboard_and_c2_invalid_wallet_destinations","no","no","no","no","https://urlscan.io/result/019fa0c4-86df-73c4-8b13-a8f253832c75/"
"www.betriebseinrichtung.de","2026-07-26T23:32:20Z","c03567cac86046a9aa1c1c4b43e0c6de7703b43cf01b3d8229978314afc6e9da","malicious_clipboard_and_c2_invalid_wallet_destinations","no","no","no","no","https://urlscan.io/result/019fa0c5-9e06-7305-b8ea-dcbaac0cb476/"
"www.betriebseinrichtung.de","2026-07-26T23:33:04Z","c03567cac86046a9aa1c1c4b43e0c6de7703b43cf01b3d8229978314afc6e9da","malicious_clipboard_and_c2_invalid_wallet_destinations","no","no","no","no","https://urlscan.io/result/019fa0c6-4528-75ab-b03f-ca42e70bb84c/"
"www.betriebseinrichtung.de","2026-07-26T23:33:26Z","c03567cac86046a9aa1c1c4b43e0c6de7703b43cf01b3d8229978314afc6e9da","malicious_clipboard_and_c2_invalid_wallet_destinations","no","no","no","no","https://urlscan.io/result/019fa0c6-9ea0-736d-ad6e-c0131d0b3713/"
"www.betriebseinrichtung.de","2026-07-26T23:33:57Z","c03567cac86046a9aa1c1c4b43e0c6de7703b43cf01b3d8229978314afc6e9da","malicious_clipboard_and_c2_invalid_wallet_destinations","no","no","no","no","https://urlscan.io/result/019fa0c7-15b8-769c-bf79-66e56eae48e2/"
"www.betriebseinrichtung.de","2026-07-26T23:40:31Z","0674a58b224cca2ce840153d6c8d474f29f126f7af5054350ba1572c33233aa3","valid_btc_eth_replacement_dom_forms_clipboard","yes","yes","no","no","https://urlscan.io/result/019fa0cd-1a78-71eb-ac4e-58ac30b9ed1e/"
"www.betriebseinrichtung.de","2026-07-26T23:41:14Z","0674a58b224cca2ce840153d6c8d474f29f126f7af5054350ba1572c33233aa3","valid_btc_eth_replacement_dom_forms_clipboard","yes","yes","no","no","https://urlscan.io/result/019fa0cd-c45b-7614-a10d-8b8b90cee26b/"
"www.betriebseinrichtung.de","2026-07-26T23:41:25Z","0674a58b224cca2ce840153d6c8d474f29f126f7af5054350ba1572c33233aa3","valid_btc_eth_replacement_dom_forms_clipboard","yes","yes","no","no","https://urlscan.io/result/019fa0cd-efc6-741c-93cd-321f6e3119c7/"
"www.tsarino11.com","2026-07-26T23:43:39Z","c03567cac86046a9aa1c1c4b43e0c6de7703b43cf01b3d8229978314afc6e9da","malicious_clipboard_and_c2_invalid_wallet_destinations","no","no","no","no","https://urlscan.io/result/019fa0cf-f79d-72ab-9724-61a7aa9e23be/"
"www.tsarino10.com","2026-07-26T23:43:46Z","c03567cac86046a9aa1c1c4b43e0c6de7703b43cf01b3d8229978314afc6e9da","malicious_clipboard_and_c2_invalid_wallet_destinations","no","no","no","no","https://urlscan.io/result/019fa0d0-0d01-73f2-9564-f3242a06ec0d/"
"www.ts4ars11.com","2026-07-26T23:44:02Z","0674a58b224cca2ce840153d6c8d474f29f126f7af5054350ba1572c33233aa3","valid_btc_eth_replacement_dom_forms_clipboard","yes","yes","no","no","https://urlscan.io/result/019fa0d0-5771-739f-95d0-58216d9938a3/"
"www.betriebseinrichtung.de","2026-07-26T23:44:03Z","0674a58b224cca2ce840153d6c8d474f29f126f7af5054350ba1572c33233aa3","valid_btc_eth_replacement_dom_forms_clipboard","yes","yes","no","no","https://urlscan.io/result/019fa0d0-4fe6-75ad-ad2f-890db38ee8d7/"
"www.tsars92.com","2026-07-26T23:44:12Z","c03567cac86046a9aa1c1c4b43e0c6de7703b43cf01b3d8229978314afc6e9da","malicious_clipboard_and_c2_invalid_wallet_destinations","no","no","no","no","https://urlscan.io/result/019fa0cf-f79b-7638-89cb-4a8dde50aff9/"
"www.tsarino13.com","2026-07-26T23:44:15Z","0674a58b224cca2ce840153d6c8d474f29f126f7af5054350ba1572c33233aa3","valid_btc_eth_replacement_dom_forms_clipboard","yes","yes","no","no","https://urlscan.io/result/019fa0d0-0c77-7008-90cc-712d0d0b595f/"
