transfer_id,chain,transaction_id,block_time_utc,from_address,to_address,asset,amount,period,role,evidence_class,source_id,source_url,notes
eth-gas-origin,ethereum,0xf76fd4a0bcdd1787a2a444f3f4351ba6a7209bc877c5bce994e4bb8e68cf932a,2026-02-18T09:22:59Z,0xf30ba13e4b04Ce5dC4D254Ae5FA95477800F0EB0,0x20Ff49EA3385B6488946430Ed1d4De6d91b43cAd,ETH,0.01,pre-incident,two-hop gas origin,observed,blockscout-api,https://eth.blockscout.com/tx/0xf76fd4a0bcdd1787a2a444f3f4351ba6a7209bc877c5bce994e4bb8e68cf932a,"Etherscan labels sender Kraken Hot Wallet 2; this does not identify the customer"
eth-earliest-usdc-1,ethereum,0x592b8c3c9a858abd41f4d9bc3c9c1bf205f8dfc387bf032d4d3be60bf2a830ba,2026-07-02T00:13:11Z,0x20Ff49EA3385B6488946430Ed1d4De6d91b43cAd,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,USDC,495.907228,pre-incident,earliest stablecoin funding,observed,blockscout-api,https://eth.blockscout.com/tx/0x592b8c3c9a858abd41f4d9bc3c9c1bf205f8dfc387bf032d4d3be60bf2a830ba,Canonical USDC contract only
eth-earliest-usdc-2,ethereum,0x3d6fdd56f380d78702e775b6b99daeecfb689bd7801a0a3ccfbd3b0e92e16403,,0x20Ff49EA3385B6488946430Ed1d4De6d91b43cAd,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,USDC,994.571355,pre-incident,earliest stablecoin funding,observed,blockscout-api,https://eth.blockscout.com/tx/0x3d6fdd56f380d78702e775b6b99daeecfb689bd7801a0a3ccfbd3b0e92e16403,Canonical USDC contract only
eth-earliest-usdc-3,ethereum,0xf3e0e5d1de05137acfdd20d60f4edea89131617906e9b62a1381ae8256dcce95,,0x20Ff49EA3385B6488946430Ed1d4De6d91b43cAd,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,USDC,1122.022075,pre-incident,earliest stablecoin funding,observed,blockscout-api,https://eth.blockscout.com/tx/0xf3e0e5d1de05137acfdd20d60f4edea89131617906e9b62a1381ae8256dcce95,One of four equal-value transfers
eth-earliest-usdc-4,ethereum,0x475b7475d6287282444d336ac7dd0cac91a9e182e6ba1b6fbcebe6391ad7435c,,0x20Ff49EA3385B6488946430Ed1d4De6d91b43cAd,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,USDC,1122.022075,pre-incident,earliest stablecoin funding,observed,blockscout-api,https://eth.blockscout.com/tx/0x475b7475d6287282444d336ac7dd0cac91a9e182e6ba1b6fbcebe6391ad7435c,One of four equal-value transfers
eth-earliest-usdc-5,ethereum,0x87d1641ef86856aea55818f666c96e263bea14455445a322dda17b66a18299a2,,0x20Ff49EA3385B6488946430Ed1d4De6d91b43cAd,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,USDC,1122.022075,pre-incident,earliest stablecoin funding,observed,blockscout-api,https://eth.blockscout.com/tx/0x87d1641ef86856aea55818f666c96e263bea14455445a322dda17b66a18299a2,One of four equal-value transfers
eth-earliest-usdc-6,ethereum,0xa5570d39de40dc44eb56405a7f742ffca667ac65c3f35a390ad91fd94a11a3f3,,0x20Ff49EA3385B6488946430Ed1d4De6d91b43cAd,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,USDC,1122.022075,pre-incident,earliest stablecoin funding,observed,blockscout-api,https://eth.blockscout.com/tx/0xa5570d39de40dc44eb56405a7f742ffca667ac65c3f35a390ad91fd94a11a3f3,One of four equal-value transfers
eth-earliest-eth,ethereum,0xcdca6e6d81ff83549909b531568a6230e2d68ce2a0648c6194324ccb1f921231,2026-07-02T11:14:35Z,0x20Ff49EA3385B6488946430Ed1d4De6d91b43cAd,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,ETH,0.66427262,pre-incident,earliest native funding,observed,blockscout-api,https://eth.blockscout.com/tx/0xcdca6e6d81ff83549909b531568a6230e2d68ce2a0648c6194324ccb1f921231,Source wallet remains unlabeled
eth-seed-relay-b,ethereum,0x1587e18472c477f1ac6159596805795a6b5b7d221fc284578dfa2d732bd298ed,2026-07-18T17:00:11Z,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,ETH,3.287652633878153982,pre-incident,seed to relay,observed,blockscout-api,https://eth.blockscout.com/tx/0x1587e18472c477f1ac6159596805795a6b5b7d221fc284578dfa2d732bd298ed,Directly links relay to seed
eth-seed-relay-a,ethereum,0x1cb5e79c4e353c832f8f2b612edfaf3ef11356c8940b448aa730eccd5d5c5911,2026-07-18T18:09:47Z,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,0x2eD291DbbC89DdF142Bb265E848B20f0cb80704F,ETH,20.1,pre-incident,seed to relay,observed,blockscout-api,https://eth.blockscout.com/tx/0x1cb5e79c4e353c832f8f2b612edfaf3ef11356c8940b448aa730eccd5d5c5911,Directly links relay to seed
eth-relay-link,ethereum,0xb8ed8fbb169effdbc72a911dfa4387370618689127c36f3921fdcc2e17c5e4e1,,0x2eD291DbbC89DdF142Bb265E848B20f0cb80704F,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,ETH,20,pre-incident,relay consolidation,observed,blockscout-api,https://eth.blockscout.com/tx/0xb8ed8fbb169effdbc72a911dfa4387370618689127c36f3921fdcc2e17c5e4e1,Links the two seed-funded relays
harbor-eth-8,ethereum,0x497808cf1577e492ed67bf7e058c92e1ab9dd28274da24efee93afebb59e0394,2026-07-18T19:00:59Z,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,0x1F21d09C65BC8Af92634DCD5a100B6d04f0c81c3,ETH,8,pre-incident,cross-chain request with decoded BTC destination,observed-decoded,blockscout-api,https://eth.blockscout.com/tx/0x497808cf1577e492ed67bf7e058c92e1ab9dd28274da24efee93afebb59e0394,"Memo names bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w"
harbor-eth-10,ethereum,0x7306831951021604da9a5cb8ec4ca8cba9851dd61009488fe40f613142f217f0,2026-07-18T19:03:11Z,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,0x1F21d09C65BC8Af92634DCD5a100B6d04f0c81c3,ETH,10,pre-incident,cross-chain request with decoded BTC destination,observed-decoded,blockscout-api,https://eth.blockscout.com/tx/0x7306831951021604da9a5cb8ec4ca8cba9851dd61009488fe40f613142f217f0,"Memo names bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w"
harbor-eth-515,ethereum,0x77b62f242af6d6b79ffbe6ac9706e3196d1d815c50d581f9dbe9c062c05af006,2026-07-18T20:48:47Z,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,0x1F21d09C65BC8Af92634DCD5a100B6d04f0c81c3,ETH,5.15,pre-incident,cross-chain request with decoded BTC destination,observed-decoded,blockscout-api,https://eth.blockscout.com/tx/0x77b62f242af6d6b79ffbe6ac9706e3196d1d815c50d581f9dbe9c062c05af006,"Memo names bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w"
harbor-usdt-2900,ethereum,0xd2d9bc60641000cb5ed4f863c2b2d1f3f224ce7dcec49d1c4aba208a6c0e2dc0,2026-07-18T22:32:11Z,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,0x1F21d09C65BC8Af92634DCD5a100B6d04f0c81c3,USDT,2900,pre-incident,cross-chain request with decoded BTC destination,observed-decoded,blockscout-api,https://eth.blockscout.com/tx/0xd2d9bc60641000cb5ed4f863c2b2d1f3f224ce7dcec49d1c4aba208a6c0e2dc0,"Memo names bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w"
harbor-usdt-12358,ethereum,0x4a4824e8dcd057745b94183df50f2e8dbc91fb2f4c34c984883bf9834fe446ed,2026-07-18T22:40:35Z,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,0x1F21d09C65BC8Af92634DCD5a100B6d04f0c81c3,USDT,12358,pre-incident,cross-chain request with decoded BTC destination,observed-decoded,blockscout-api,https://eth.blockscout.com/tx/0x4a4824e8dcd057745b94183df50f2e8dbc91fb2f4c34c984883bf9834fe446ed,"Memo names bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w"
