"prefix","unique_task_domains","suffix_format","exact_hostinger_core_overlap","source_id","boundary"
"update","19","24 lowercase letters","0","hecavex-investigation","Partial preselected corpus"
"adobe","11","24 lowercase letters","0","hecavex-investigation","Brand label is lure context not provider compromise"
"excel","10","24 lowercase letters","0","hecavex-investigation","Product label is lure context"
"kdsieghrehbgherk","6","24 lowercase letters","0","hecavex-investigation","Opaque fixed prefix"
"navieghrehbgherk","4","24 lowercase letters","0","hecavex-investigation","Opaque fixed prefix"
"navietkoreeark","4","24 lowercase letters","0","hecavex-investigation","Opaque fixed prefix"
"viewfile","4","24 lowercase letters","0","hecavex-investigation","Generic file-view lure"
"sso-godaddy","4","24 lowercase letters","0","hecavex-investigation","Brand label is lure context not provider compromise"
"pdf","2","24 lowercase letters","0","hecavex-investigation","Document lure"
"dhl","1","24 lowercase letters","0","hecavex-investigation","Brand label is lure context not provider compromise"
"hostinger","1","24 lowercase letters","0","hecavex-investigation","Context-only lead outside exact long family"
"naver","1","24 lowercase letters","0","hecavex-investigation","Brand label is lure context not provider compromise"
