"path","sha256","size_bytes","media_type","description"
"CHANGELOG.md","207259499c07de7e55fb381ab51347e327359c45a931e99473d8b165043e7969","801","text/markdown","Release history"
"CITATION.cff","c892efe5cc15f5af72cd94ae6f200f5fca5e9ce23a992e31e7c75fbae7c8a091","606","application/yaml","Machine-readable citation"
"cross-brand-context.csv","498d7cbb07111f3302e2a46ee8e627a9f266f92d1e7ec94e547bedc76d946a30","1331","text/csv","Aggregate same-shape lure-prefix context and attribution boundary"
"exact-hash-pivots.csv","6be12a0e720c6664bf56c04d5ea989cbafd8b9137c9e1847eaff517f5a9f9343","1316","text/csv","Exact content hashes and documented public observation counts"
"graph.json","ac74f34806e89442e5f92597d8dc2cf588b51e96ff2e3ff762b593857713e8a2","7477","application/json","Observed and assessed relationship graph with explicit limitations"
"hostinger-domain-inventory.csv","388ece72f4f1201a4e763da9d930190543ba0fd16c2f328721f04e28a6ec0ca1","114854","text/csv","Complete defanged Hostinger domain inventory with roles, evidence tiers and safe-use guidance"
"hostname-generation-summary.csv","5a43059e89d7e4fd18df0a0dd1f928f6a18e016ab0821943033bc151e6c6b05a","859","text/csv","Aggregate deployment-name statistics and interpretation boundaries"
"indicators.csv","25fe396a596a031b6cf3ee4a48a60d7d3b5bef45bfc7143dd1a8cf999e5d76af","2828","text/csv","Defanged contextual indicators with lifecycle and blocking guidance"
"infrastructure-summary.csv","d7eacddcd18a082729bc5f7b69672c9bea100fbb95eafd076dba07255d8ded16","1549","text/csv","Aggregate infrastructure and bounded-verification results"
"LICENSE.md","34e303e066011033ee6d0ff7753c8814a13f7df407c904b6e19073b2ff070fa3","547","text/markdown","Licence and third-party material boundary"
"local-mock-flow.json","212742f7907f211abd77dc3dba5ad3c347e7efc1a0bfb01fe084e425a494313b","1145","application/json","Synthetic loopback-only request-shape reconstruction"
"observations.csv","5e7a60bcb1c6bb7702382dd6f31c6294fb32d036a6b188bb43ddeaee9436b874","3818","text/csv","Time-bounded observations and derived public counts"
"README.md","f208194f76099b1dfc87ff1c66fda7c9392ff2f50870b8ddcf4a3ad7ab70e672","4407","text/markdown","Scope, findings, limitations and safe-use notes"
"reproduction-notes.md","f2b4c89b63ee80f8dcd24b2afba623851082743a320bdaf9d772b3d09b622889","4509","text/markdown","Safe offline reproduction method and analytical boundaries"
"sources.csv","1de50351e826000f1e9c489e594a436c5e97d02df76135d55f4fec8280f73bf4","1900","text/csv","Public source register with sensitive report locators withheld"
