"indicator_id","type","value","provider","observed_roles","evidence_tier","first_observed","last_observed","observation_count","status","confidence","source_id","safe_for_blocking","notes"
"domain-0001","domain","hostinger-mail-ewgjnwrkgnkrw-abrtbnckeenwqepksujxmecy[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-07-04T17:51:10.469000Z","2026-07-04T20:12:42.658000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0002","domain","hostinger-mail-ewgjnwrkgnkrw-abvyvzvqkteuqbpsbvtwtykr[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-04-24T09:53:38.896000Z","2026-07-12T10:50:27.193000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0003","domain","hostinger-mail-ewgjnwrkgnkrw-abzcumdcybrfjcqtifxdpprl[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-08-16T15:57:51.211000Z","2026-08-16T15:57:51.211000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0004","domain","hostinger-mail-ewgjnwrkgnkrw-ahjepyjqhxtodryahooakzxw[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-04-13T08:31:24.408000Z","2026-04-13T08:31:24.408000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0005","domain","hostinger-mail-ewgjnwrkgnkrw-akjowroxfawatowgxsewwpqf[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-20T20:52:56.543000Z","2026-07-07T07:14:47.991000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0006","domain","hostinger-mail-ewgjnwrkgnkrw-ampfowkbcsgnulnoqpwkveqj[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-29T08:55:59.288000Z","2026-05-29T12:34:51.684000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0007","domain","hostinger-mail-ewgjnwrkgnkrw-apxpcogkqntbsvzbkzoscfbf[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-04-16T10:51:01.255000Z","2026-04-16T10:51:01.255000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0008","domain","hostinger-mail-ewgjnwrkgnkrw-auchhgfjrbbjieifyjoqrcln[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-20T07:41:21.827000Z","2026-05-20T19:08:15.012000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0009","domain","hostinger-mail-ewgjnwrkgnkrw-avznzzbsefyvkvvgkxkkpxmt[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-25T23:22:55.074000Z","2026-06-26T15:07:27.724000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0010","domain","hostinger-mail-ewgjnwrkgnkrw-bacjbcsrndcqhecpoiehqjtb[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-13T09:11:12.571000Z","2026-05-15T10:04:57.947000Z","3","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0011","domain","hostinger-mail-ewgjnwrkgnkrw-bbgymumhslrjyrafdzocvfrl[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-08-20T10:28:37.274000Z","2026-08-20T10:28:37.274000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0012","domain","hostinger-mail-ewgjnwrkgnkrw-bfxqyttsywpcokaglkpczbkb[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-04T05:56:00.754000Z","2026-05-04T14:42:42.962000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0013","domain","hostinger-mail-ewgjnwrkgnkrw-bjonlpwtjxjqcxavzbrqmzls[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-18T10:14:50.237000Z","2026-05-23T19:29:10.843000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0014","domain","hostinger-mail-ewgjnwrkgnkrw-bkpyuosmmrcfuzbfxgewnvyi[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-04-28T01:48:18.952000Z","2026-04-28T07:45:39.381000Z","3","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0015","domain","hostinger-mail-ewgjnwrkgnkrw-bnepbwrpfbgfrejsvekhvgsz[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-12T23:35:28.906000Z","2026-05-12T23:35:28.906000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0016","domain","hostinger-mail-ewgjnwrkgnkrw-bpeufomzmulmpbrmctqrwoog[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-04-29T16:13:37.967000Z","2026-06-27T16:46:48.353000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
