"path","sha256","size_bytes","media_type","description"
"CHANGELOG.md","b4b52d814ac44ecee491e6e4c7b93d67c815ef7fa0f359bcc955aebcf041eb51","353","text/markdown","Release history"
"CITATION.cff","f93389263f22f43b11d81ab9d0554bc2f9682008b416a88afdd8b1b880cb10d6","595","application/yaml","Machine-readable citation"
"exact-hash-pivots.csv","d75524e3f18840b632b3e8cd19d3cb0304195b8484482f2b9ae1611fd9831c48","1142","text/csv","Exact asset hashes and documented public matches"
"graph.json","2a6c1a3b79f14f3fd76f77f6bdeece3c49831166e5e7be941b18fa9082c8654d","2394","application/json","Observed and assessed relationship graph"
"indicators.csv","bc0e8c1467cc385b58fafa01d99ca9b982d1ff0df846c0f7b3ba424d5fe31137","2951","text/csv","Contextual defanged indicators and lifecycle guidance"
"infrastructure-summary.csv","430a5d9fd83b4648669ef926d98a5423097e66b415a45859fdb1daf18b0ee567","1422","text/csv","Delivery-layer and direct-hosting summaries"
"LICENSE.md","aef55950098df32d2d207ff3357f0bfec4ee42449e8b7a91b507544272a6dd14","486","text/markdown","Licence and third-party boundary"
"observations.csv","a1260bce75eec8304929042c58c2d1718b9d730adf33c2cfd1b3614fd3355f01","3345","text/csv","Time-bounded observations and derived counts"
"README.md","5b7cc6eda6dcd00aa3cf988ef0327b0b2b0ab930715e7af05c858e0f7b2c38dd","3028","text/markdown","Scope, findings, limitations and safe-use notes"
"reproduction-notes.md","b35b6e7deca507f4c564282d4268283c777a09cfe05018b9a5542303f2f95636","2429","text/markdown","Safe passive reproduction procedure"
"sources.csv","f1e450fa3d7b70a6fa7e14b1a98979d0c5a6f09a266c734bcc856b951096d4f6","2790","text/csv","Public source register"
