"indicator_id","type","value","role","first_observed","last_observed","status","confidence","source_id","expires_at","safe_for_blocking","notes"
"ioc-001","phone","+63 951 976 1812","SMS delivery","2026-08-11T08:01:00Z","2026-08-11T08:01:00Z","unknown","medium","src-primary-sms","","yes","Displayed sender fits a Philippine mobile format but does not establish subscriber or operator location"
"ioc-002","url","hxxps://unipark[.]fmqr[.]ink/com","incident lure","2026-08-11T08:01:00Z","2026-08-11T08:10:00Z","revoked","high","src-primary-sms","","no","Observed pointing to NKSC containment infrastructure during collection; do not block the sinkhole address"
"ioc-003","url","hxxps://unipark[.]fxqro[.]xin/com/","prior exact frontend match","2026-08-04T07:00:00Z","2026-08-04T07:00:00Z","expired","high","src-urlscan-fxqro","","yes","Historical malicious deployment"
"ioc-004","url","hxxps://unipark[.]novorb[.]xyz/com/","prior core-kit match","2026-08-03T13:59:00Z","2026-08-03T13:59:00Z","expired","high","src-urlscan-novorb","","yes","Historical malicious deployment"
"ioc-005","url","hxxps://unipark[.]cxmpvqtr[.]club/com/","prior core-kit match","2026-07-16T15:36:00Z","2026-07-16T15:36:00Z","expired","high","src-urlscan-hash","","yes","Historical malicious deployment"
"ioc-006","sha256","7068d7b09a8afb99b051847dd65602e054f69c33d0cd8161ab986eae71538a2b","shared core bundle","2026-06-30T09:27:00Z","2026-08-11T08:10:00Z","current","high","src-urlscan-hash","2026-11-11","yes","Best broad software-family pivot; correlate with time and context"
"ioc-007","sha256","8d5e6597ebac3ca5419ad4fe5c422fb59f98948d5fa32365b1730bdd06f005dc","UNIPARK brand adapter","2026-08-04T07:00:00Z","2026-08-11T08:10:00Z","current","high","src-urlscan-fxqro","2026-11-11","yes","Exact frontend relationship"
"ioc-008","sha256","0bdd6862589aeb9603ba1d3a8f3efe85ed987f16a954816ad85debd13c39919a","shared phishing engine","2026-08-04T07:00:00Z","2026-08-11T08:10:00Z","current","high","src-urlscan-fxqro","2026-11-11","yes","Exact frontend relationship"
"ioc-009","path","/console","same-origin Socket.IO collection and control","2026-06-30T09:27:00Z","2026-08-11T08:10:00Z","current","medium","src-urlscan-console","2026-11-11","no","Not unique; combine with bundle hash or asset name"
"ioc-010","string","changleField","client-to-server event marker","2026-08-04T07:00:00Z","2026-08-11T08:10:00Z","current","high","src-article","2026-11-11","no","Useful code or telemetry pivot when combined with context"
"ioc-011","string","Aff2dfwOEgleoYXZnKahKIPfXahqbYL3ErZahQ27wc00bAjz","hidden HTML marker","2026-08-04T07:00:00Z","2026-08-11T08:10:00Z","current","high","src-article","2026-11-11","no","Page marker, not a standalone network block indicator"
"ioc-012","string","uk_ringgo_fine_plate","kit-reuse residue","2026-06-30T09:27:00Z","2026-08-11T08:10:00Z","current","high","src-article","2026-11-11","no","Supports parking-kit reuse; does not attribute an operator"
