"observation_id","observed_at","collected_at","object_type","object_value","context","source_id","collection_method","evidence_path","confidence","notes"
"obs-001","2026-06-30T09:27:00Z","2026-08-11T08:10:00Z","response_hash","7068d7b09a8afb99b051847dd65602e054f69c33d0cd8161ab986eae71538a2b","Earliest public core-bundle observation found","src-urlscan-hash","passive URLScan query","exact-hash-pivots.csv","high","Earliest public boundary found, not necessarily campaign start"
"obs-002","2026-07-16T15:36:00Z","2026-08-11T08:10:00Z","url","hxxps://unipark[.]cxmpvqtr[.]club/com/","Earlier UNIPARK-themed deployment","src-urlscan-hash","passive URLScan query","indicators.csv","high","Same core software family"
"obs-003","2026-08-03T13:59:00Z","2026-08-11T08:10:00Z","url","hxxps://unipark[.]novorb[.]xyz/com/","Earlier UNIPARK-themed deployment","src-urlscan-novorb","passive URLScan record","indicators.csv","high","Same core software family"
"obs-004","2026-08-04T07:00:00Z","2026-08-11T08:10:00Z","url","hxxps://unipark[.]fxqro[.]xin/com/","Earlier exact-frontend match","src-urlscan-fxqro","passive URLScan record","exact-hash-pivots.csv","high","Four exact JavaScript and CSS matches"
"obs-005","2026-08-10T13:08:18Z","2026-08-11T08:10:00Z","domain_registration","fmqr[.]ink","Root domain registered less than a day before SMS delivery","src-rdap-fmqr","RDAP","indicators.csv","high","Registration snapshot may change"
"obs-006","2026-08-11T05:11:00Z","2026-08-11T08:10:00Z","tls_certificate","*.fmqr[.]ink","First of two observed wildcard-certificate issuances","src-certspotter-fmqr","Certificate Transparency","","high","Wildcard does not enumerate every hostname"
"obs-007","2026-08-11T08:01:00Z","2026-08-11T08:10:00Z","sms_lure","+63 951 976 1812","UNIPARK-themed parking-payment message delivered in Lithuania","src-primary-sms","user-supplied primary evidence","","high","Displayed sender is a delivery IOC, not operator attribution"
"obs-008","2026-08-11T08:10:00Z","2026-08-11T08:10:00Z","dns_cname","siena.nksc.lt","Observed CNAME for unipark.fmqr[.]ink","src-article","DNS snapshot documented in investigation","","high","Containment infrastructure; not malicious and not safe for blocking"
"obs-009","2026-08-11T08:10:00Z","2026-08-11T08:10:00Z","derived_count","163 URLScan records / 126 unique page hostnames","Exact core-hash result set","src-urlscan-hash","deduplication of passive records","reproduction-notes.md","high","Page hostname is observation context, not proof of knowing participation"
"obs-010","2026-08-11T08:10:00Z","2026-08-11T08:10:00Z","network_path","/console","Observed in all 163 exact-core-hash records","src-urlscan-console","combined passive query","reproduction-notes.md","high","Path alone is not unique enough for blocking"
"obs-011","2026-08-11T08:10:00Z","2026-08-11T08:10:00Z","derived_count","121 Cloudflare scans / 42 direct scans","Delivery-layer grouping of 163 records","src-article","ASN and server grouping","infrastructure-summary.csv","high","Cloudflare addresses are shared infrastructure"
"obs-012","2026-08-14T10:30:00Z","2026-08-14T10:30:00Z","comparison","0 exact JWR hash/domain/IP overlap","Comparison with Cisco Talos JWR IOC set","src-talos-jwr-iocs","exact set comparison","reproduction-notes.md","high","Similar tradecraft does not establish same framework or operator"
